	classnumber	day_of_year	genus	lat	lon	name	precipProbability	precipProbabilityPreviousDay	precipProbabilityPreviousDay2	precipProbabilityPreviousDay7	pressure	temperatureMax	temperatureMaxPrevDay1	temperatureMaxPrevDay2	temperatureMaxPrevDay7	temperatureMin	temperatureMinPrevDay1	temperatureMinPrevDay2	temperatureMinPrevDay7	time_observed_at
4443772	2	301	Panthera	-1.7981684	37.2199866	Panthera														2016-10-27 03:56:04
4420880	2	297	Panthera	32.54978	-84.8942716667	Panthera	0.0	0.0	0.0	0.59	1023.27	78.51	71.13	72.77	82.32	43.44	46.44	57.74	64.74	2016-10-23 13:33:07
29110377	2	237	Panthera	31.0548457566	121.7242240906	Panthera	0.0	0.0	0.25	0.0	1015.0	93.14	93.75	93.35	93.6	79.32	81.96	82.53	81.35	2016-08-24 05:55:00
3795910	2	202	Panthera	33.1006622314	-116.9964447021	Panthera	0.0	0.0	0.0	0.0	1013.9	95.8	90.57	85.13	87.14	68.21	65.83	63.96	63.06	2016-07-21 01:21:02
3000098	2	107	Panthera	36.7530017011	-119.8223283514	Panthera	0.0	0.0	0.0	1.0	1018.15	77.75	71.34	68.11	65.93	49.16	45.67	52.46	57.59	2016-04-16 13:34:38
4751966	2	194	Panthera	10.6349026128	1.2667513249	Panthera														2014-07-13 21:33:00
5605094	2	145	Panthera	18.9370865	-98.1365293	Panthera	0.0	0.0	0.0	0.0	1015.0	72.85	77.96	74.08	81.83	56.8	58.14	57.35	46.53	2014-05-25 18:15:00
421025	2	279	Panthera	39.3544246	-86.9334119	Panthera	1.0	1.0	0.77	1.0	1009.88	66.74	73.87	81.02	66.56	49.42	65.79	66.9	62.45	2013-10-06 16:09:18
27557750	2	84	Panthera	17.6998522965	75.5859375	Panthera														2007-03-25 04:37:52
28273423	3	183	Heloderma	32.242826385	-111.1681997404	Heloderma	0.01	0.07	0.05	0.0	1007.54	100.7	103.5	103.34	99.62	76.5	75.02	79.5	65.55	2019-07-02 14:15:52
21881539	3	69	Heloderma	23.3046642762	-106.4865658813	Heloderma	0.06	0.04	0.06	0.08	1010.92	85.0	81.89	80.88	77.53	57.4	57.0	55.08	55.51	2019-03-10 19:00:00
17418437	3	223	Heloderma	32.7341957092	-117.1492462158	Heloderma	0.12	0.15	0.19	0.01	1014.66	85.05	86.53	86.4	82.66	73.69	76.18	74.23	70.06	2018-08-11 20:59:13
12806491	3	145	Heloderma	32.734355	-117.1494333333	Heloderma	0.0	0.19	0.0	0.0	1018.9	68.77	65.09	68.3	65.85	58.79	58.12	57.75	57.41	2018-05-25 16:13:28
5917385	3	110	Heloderma	-25.3241665257	-112.1484375	Heloderma														2017-04-21 04:32:00
5115633	3	46	Heloderma	9.9281495204	-84.4521822409	Heloderma	0.0	0.0	0.0	0.0	1015.0	91.22	90.36	88.52	90.36	69.07	70.38	72.34	74.61	2017-02-15 20:34:47
20329322	3	204	Heloderma	40.1560789	-83.1183042	Heloderma	0.0	0.0	0.0	0.0	1015.56	81.97	78.84	82.9	81.27	61.01	58.69	65.66	53.16	2015-07-23 17:10:00
21212443	3	142	Heloderma	55.662947392	37.5558183802	Heloderma	0.0	0.0	0.0	0.0	1015.0	59.29	62.8	76.81	79.88	52.98	54.65	56.49	59.2	2013-05-22 08:42:00
27580577	3	200	Heloderma	23.3033179592	-106.0541656382	Heloderma	0.0	0.0	0.0	0.0	1011.75	88.21	88.21	88.21	89.47	73.79	73.79	77.41	75.59	2008-07-18 17:47:00
28900567	4	196	Crotalus	17.1293029785	-96.8019561768	Crotalus	0.64	0.75	0.93	0.74	1014.94	83.86	80.64	76.73	77.42	58.21	59.79	59.53	56.22	2019-07-15 11:59:14
28822182	4	195	Crotalus	32.4404215772	-99.6916354575	Crotalus	0.11	0.0	0.05	0.4	1011.86	93.42	87.98	91.62	94.0	69.68	66.33	73.98	73.11	2019-07-14 15:48:53
28875001	4	194	Crotalus	34.7842687253	-118.1198992458	Crotalus	0.0	0.0	0.0	0.0	1009.48	102.0	102.31	99.6	93.03	69.65	67.39	66.59	65.15	2019-07-13 15:54:00
28329372	4	187	Crotalus	7.0133333206	-73.0599975586	Crotalus	0.55	0.67	0.39	0.76	1014.35	85.89	85.13	85.1	83.65	63.22	64.42	62.46	64.66	2019-07-06 20:59:19
28262808	4	186	Crotalus	23.7296881084	-103.9636891449	Crotalus	0.71	0.59	0.77	0.30000000000000004	1017.41	82.66	85.46	80.86	86.2	57.06	48.62	50.32	48.27	2019-07-05 18:11:31
28273881	4	183	Crotalus	32.2432233887	-111.1673012003	Crotalus	0.01	0.07	0.05	0.0	1007.54	100.57	103.39	103.21	99.52	76.46	74.97	79.43	65.52	2019-07-02 15:16:37
27979553	4	181	Crotalus	34.1169158416	-118.2863254846	Crotalus	0.02	0.02	0.01	0.0	1014.57	81.98	80.85	76.59	76.72	63.2	61.34	59.95	58.64	2019-07-01 04:08:29
26544744	4	157	Crotalus	33.6255917586	-111.7360869889	Crotalus	0.0	0.0	0.01	0.0	1008.76	98.48	98.06	95.29	92.53	74.11	71.62	69.76	66.38	2019-06-06 15:24:00
26277768	4	153	Crotalus	33.1977543891	-117.3785748107	Crotalus	0.14	0.06	0.07	0.8200000000000001	1012.23	63.07	64.81	65.08	62.1	59.42	59.27	58.16	55.78	2019-06-02 20:50:25
26181077	4	152	Crotalus	20.88187257	-86.88697729	Crotalus	0.67	0.84	0.48	0.27	1010.9	89.68	89.26	89.43	88.03	79.68	77.4	79.56	76.11	2019-06-01 14:25:05
25351682	4	138	Crotalus	36.4774422691	-118.8428508216	Crotalus	1.0	0.43	1.0	0.14	1013.53	65.51	57.01	58.91	76.84	47.75	47.45	47.63	56.11	2019-05-18 23:49:45
24810119	4	128	Crotalus	38.6884403587	-121.0711474344	Crotalus	0.0	0.03	0.03	0.0	1012.68	76.77	73.82	65.24	73.52	50.67	47.2	47.13	47.12	2019-05-08 23:39:45
24839074	4	127	Crotalus	32.8765472222	-116.8609916667	Crotalus	0.58	0.35000000000000003	0.03	0.42	1017.22	62.0	66.98	71.8	59.13	54.96	56.28	51.95	54.27	2019-05-07 18:19:00
24532892	4	124	Crotalus	32.6728523523	-95.4055383057	Crotalus	1.0	1.0	1.0	0.0	1010.68	78.09	71.11	78.33	81.0	62.0	62.0	60.0	51.58	2019-05-04 14:43:50
24273023	4	121	Crotalus	30.70769937	-101.2021026	Crotalus	0.28	0.25	0.09	1.0	1008.65	81.35	83.6	74.04	68.17	66.36	67.65	64.13	52.87	2019-05-01 07:47:15
